,HorseName,HorseOrigin,Age,YearOfBirth,Color,Sex,H_SeasonalStake,H_TotalStake,H_1st,H_2nd,H_3rd,H_Total,Trainer,CurrentRating,StartofTheSeasonRating
816,紫雲冰,澳洲,4,2018,棗,閹,"$2,176,725","$3,008,725",3,1,3,9,方嘉柏,69,56
817,終身美麗,愛爾蘭,5,2017,棗,閹,"$1,742,250","$3,356,900",1,4,4,23,告東尼,71,64
818,經典之光,紐西蘭,5,2017,棗,閹,$0,"$592,800",1,0,0,3,蘇偉賢,60,60
819,經典之星,紐西蘭,7,2015,栗,閹,$0,"$5,753,500",5,1,1,24,蘇偉賢,84,87
820,綠登,南非,6,2016,棗,閹,"$286,200","$286,200",0,0,2,12,蘇偉賢,43,46
821,綠色有料,澳洲,4,2018,栗,閹,"$586,500","$931,900",0,2,0,5,蘇偉賢,69,66
822,綠茵神駒,愛爾蘭,4,2018,棕,閹,"$439,875","$620,425",0,1,1,9,苗禮德,71,73
823,綫路之星,愛爾蘭,4,2018,棗,閹,"$1,688,475","$3,927,825",2,0,5,16,告東尼,88,80
824,綫路光明,澳洲,5,2017,棗,閹,$0,$0,0,0,0,7,容天鵬,30,36
825,綫路暉華,英國,4,2018,棗,閹,"$668,250","$695,550",1,1,0,14,文家良,39,31
826,綫路盈喜,紐西蘭,5,2017,栗,閹,$0,"$946,400",1,1,0,4,告東尼,59,59
827,綫路神驊,紐西蘭,5,2017,棗,閹,"$1,333,800","$1,831,350",2,1,1,14,文家良,65,54
828,綫路菁英,愛爾蘭,4,2018,灰,閹,"$1,077,300","$1,194,300",2,0,1,15,告東尼,48,36
829,維港奔流,澳洲,7,2015,栗,閹,"$103,500","$6,916,905",5,5,3,44,丁冠豪,71,78
830,維港智能,澳洲,4,2018,棗／棕,閹,"$1,659,225","$1,659,225",2,0,0,4,沈集成,71,52
831,緊張大師,澳洲,5,2017,棗,閹,$0,"$6,935,400",4,2,3,10,大衛希斯,105,105
832,緣份,愛爾蘭,6,2016,棗,閹,"$121,500","$1,271,055",1,2,3,32,鄭俊偉,20,26
833,緣途有您,澳洲,3,2019,棗,閹,"$64,800","$64,800",0,0,0,1,羅富全,52,52
834,縱橫十六,紐西蘭,5,2017,棗,閹,$0,"$988,300",1,0,3,21,文家良,36,39
835,縱橫大進,英國,4,2018,棗,雄,$0,$0,0,0,0,0,容天鵬,65,65
836,縱橫天下,澳洲,4,2018,棗,閹,"$2,780,475","$3,685,275",3,3,2,12,何良,75,57
837,總理,紐西蘭,7,2015,棗,閹,"$114,000","$2,924,600",2,3,0,21,姚本輝,78,81
838,繼續精彩,澳洲,5,2017,棗,閹,"$28,350","$145,350",0,0,0,13,葉楚航,25,31
839,美好世界,澳洲,5,2017,棗,閹,"$1,161,600","$4,278,050",2,4,3,13,羅富全,88,85
840,美滿將來,澳洲,6,2016,棕,閹,"$226,800","$724,950",1,1,0,18,文家良,34,34
841,美滿星雲,澳洲,4,2018,棗,閹,"$124,200","$160,600",0,0,1,7,文家良,45,47
842,美麗之選,澳洲,4,2018,棗,閹,$0,$0,0,0,0,0,伍鵬志,65,65
843,美麗同享,澳洲,6,2016,栗,閹,"$2,568,000","$11,220,900",5,2,1,13,告東尼,119,117
844,美麗喝采,法國,5,2017,棗,閹,"$60,375","$335,125",0,0,1,14,韋達,56,65
845,美麗在線,澳洲,5,2017,棗,閹,"$580,800","$4,599,300",4,2,2,10,羅富全,85,83
846,美麗多盈,愛爾蘭,3,2019,灰,閹,$0,$0,0,0,0,1,告東尼,52,52
847,美麗奔馳,英國,3,2019,棗,閹,$0,"$894,900",1,0,0,3,告東尼,74,74
848,美麗宇宙,紐西蘭,4,2018,棗,閹,"$3,653,000","$3,653,000",1,0,0,2,告東尼,88,82
849,美麗攻略,澳洲,5,2017,栗,閹,"$124,200","$924,900",0,1,3,13,羅富全,56,62
850,美麗新星,英國,4,2018,棗,閹,"$121,500","$176,450",0,0,1,16,蔡約翰,35,40
851,美麗時光,澳洲,4,2018,棕,閹,$0,$0,0,0,0,0,呂健威,52,52
852,美麗歡聲,法國,3,2019,棗／棕,閹,$0,$0,0,0,0,1,告東尼,75,75
853,美麗滿滿,澳洲,5,2017,栗,閹,"$120,750","$1,883,400",2,1,0,10,羅富全,68,69
