,HorseName,HorseOrigin,Age,YearOfBirth,Color,Sex,H_SeasonalStake,H_TotalStake,H_1st,H_2nd,H_3rd,H_Total,H_Trainer,CurrentRating,StartofTheSeasonRating
338,星夢帝國,愛爾蘭,7,2015,棗,閹,Not Available,"$1,854,400",2,3,0,17,Not Available,59,NotAvailable
339,星威,澳洲,7,2015,棗,閹,Not Available,"$26,250",0,0,0,13,Not Available,15,NotAvailable
340,星河戰駒,紐西蘭,7,2015,棗,閹,Not Available,"$499,500",0,1,3,21,Not Available,24,NotAvailable
341,星運男爵,紐西蘭,7,2015,棗,閹,Not Available,"$745,500",0,1,0,14,Not Available,69,NotAvailable
342,星駿,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,1,Not Available,52,NotAvailable
343,春風得意,紐西蘭,7,2015,棕,閹,Not Available,"$2,957,640",2,5,4,32,Not Available,48,NotAvailable
344,時尚傳奇,紐西蘭,7,2015,棗,閹,Not Available,"$255,000",0,1,0,19,Not Available,20,NotAvailable
345,時時好綵,澳洲,7,2015,栗,閹,Not Available,"$54,950",0,0,0,5,Not Available,66,NotAvailable
346,時時精綵,愛爾蘭,7,2015,棗,閹,Not Available,"$83,491,900",11,11,5,32,Not Available,124,NotAvailable
347,時時順意,澳洲,7,2015,栗,閹,Not Available,"$494,550",0,1,0,8,Not Available,67,NotAvailable
348,晨曦寶馬,澳洲,7,2015,栗,閹,Not Available,"$273,375",0,1,0,16,Not Available,25,NotAvailable
349,晨曦飛馬,紐西蘭,7,2015,棗,閹,Not Available,"$2,963,520",3,3,2,25,Not Available,52,NotAvailable
350,晴朗拍檔,紐西蘭,7,2015,棗,閹,Not Available,"$1,325,375",1,2,4,38,Not Available,21,NotAvailable
351,智勇財星,紐西蘭,7,2015,棗,閹,Not Available,$0,0,0,0,3,Not Available,47,NotAvailable
352,智弗拍檔,澳洲,7,2015,棗,閹,Not Available,"$643,500",1,1,0,17,Not Available,25,NotAvailable
353,智理共想,美國,7,2015,灰／沙,閹,Not Available,"$285,000",0,0,3,15,Not Available,24,NotAvailable
354,智醒財星,澳洲,7,2015,栗,閹,Not Available,"$1,830,650",0,3,3,12,Not Available,63,NotAvailable
